date,name,value
16-04-2020,CABA,663
16-04-2020,BUENOS AIRES,760
17-04-2020,SAN JUAN,2
17-04-2020,SALTA,3
17-04-2020,MISIONES,4
17-04-2020,CHUBUT,4
17-04-2020,JUJUY,5
17-04-2020,LA PAMPA,5
17-04-2020,SAN LUIS,11
17-04-2020,SANTIAGO DEL ESTERO,12
17-04-2020,ENTRE RÍOS,22
17-04-2020,TUCUMÁN,30
17-04-2020,CORRIENTES,31
17-04-2020,LA RIOJA,34
17-04-2020,SANTA CRUZ,40
17-04-2020,MENDOZA,69
17-04-2020,NEUQUÉN,93
17-04-2020,RÍO NEGRO,115
17-04-2020,TIERRA DEL FUEGO,119
17-04-2020,SANTA FE,218
17-04-2020,CHACO,224
17-04-2020,CÓRDOBA,246
17-04-2020,CABA,677
17-04-2020,BUENOS AIRES,794
18-04-2020,SAN JUAN,2
18-04-2020,SALTA,3
18-04-2020,CHUBUT,4
18-04-2020,MISIONES,5
18-04-2020,JUJUY,5
18-04-2020,LA PAMPA,5
18-04-2020,SAN LUIS,11
18-04-2020,SANTIAGO DEL ESTERO,12
18-04-2020,ENTRE RÍOS,22
18-04-2020,TUCUMÁN,30
18-04-2020,CORRIENTES,31
18-04-2020,LA RIOJA,34
18-04-2020,SANTA CRUZ,40
18-04-2020,MENDOZA,69
18-04-2020,NEUQUÉN,96
18-04-2020,RÍO NEGRO,118
18-04-2020,TIERRA DEL FUEGO,119
18-04-2020,SANTA FE,221
18-04-2020,CHACO,248
18-04-2020,CÓRDOBA,248
18-04-2020,CABA,691
18-04-2020,BUENOS AIRES,825
19-04-2020,SAN JUAN,2
19-04-2020,SALTA,3
19-04-2020,CHUBUT,4
19-04-2020,MISIONES,5
19-04-2020,JUJUY,5
19-04-2020,LA PAMPA,5
19-04-2020,SAN LUIS,11
19-04-2020,SANTIAGO DEL ESTERO,12
19-04-2020,ENTRE RÍOS,22
19-04-2020,TUCUMÁN,30
19-04-2020,CORRIENTES,31
19-04-2020,LA RIOJA,38
19-04-2020,SANTA CRUZ,40
19-04-2020,MENDOZA,72
19-04-2020,NEUQUÉN,99
19-04-2020,TIERRA DEL FUEGO,122
19-04-2020,RÍO NEGRO,126
19-04-2020,SANTA FE,222
19-04-2020,CHACO,253
19-04-2020,CÓRDOBA,259
19-04-2020,CABA,706
